
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    25.00     0.00    -0.09     0.09    -5.50    -3.50     0.48     0.09    -0.00     0.17    -0.17 ********    73.87 ******** ********
    25.00    10.00     2.85     3.01    -4.93    -3.63    -0.15     2.77     0.08    -0.16     0.24  -193.03    71.18   103.46   103.96
    25.00    20.00     5.81     5.92    -4.29    -3.75    -2.03     5.48     0.33    -0.12     0.45   -36.08    68.56    52.62    53.16
    25.00    30.00     8.78     8.84    -3.59    -3.85    -5.17     8.06     0.72    -0.05     0.78    -7.40    65.99    35.35    35.95
    25.00    40.00    11.79    11.76    -2.82    -3.96    -9.56    10.53     1.26     0.03     1.23     2.75    63.49    26.65    27.31
    25.00    50.00    14.83    14.69    -1.98    -4.09   -15.18    12.91     1.92     0.14     1.78     7.51    61.05    21.42    22.13
    25.00    60.00    17.91    17.64    -1.06    -4.25   -22.02    15.21     2.70     0.27     2.43    10.08    58.67    17.92    18.68
    25.00    70.00    21.03    20.62    -0.07    -4.45   -30.05    17.45     3.59     0.41     3.17    11.54    56.35    15.42    16.23
    25.00     0.00    -0.09     0.09    -5.50    -3.50     0.48    -0.09     0.00    -0.17     0.17 ********    73.87 ******** ********
    25.00   -10.00    -3.01    -2.85    -6.01    -3.34    -0.15    -2.77    -0.08     0.16    -0.24  -193.03    76.63   103.46   103.96
    25.00   -20.00    -5.92    -5.81    -6.45    -3.15    -2.03    -5.48    -0.33     0.12    -0.45   -36.08    79.46    52.62    53.16
    25.00   -30.00    -8.84    -8.78    -6.84    -2.91    -5.17    -8.06    -0.72     0.05    -0.78    -7.40    82.37    35.35    35.95
    25.00   -40.00   -11.76   -11.79    -7.16    -2.63    -9.56   -10.53    -1.26    -0.03    -1.23     2.75    85.36    26.65    27.31
    25.00   -50.00   -14.69   -14.83    -7.42    -2.30   -15.18   -12.91    -1.92    -0.14    -1.78     7.51    88.43    21.42    22.13
    25.00   -60.00   -17.64   -17.91    -7.61    -1.92   -22.02   -15.21    -2.70    -0.27    -2.43    10.08    91.60    17.92    18.68
    25.00   -70.00   -20.62   -21.03    -7.75    -1.49   -30.05   -17.45    -3.59    -0.41    -3.17    11.54    94.88    15.42    16.23
    30.00     0.00    -0.11     0.11    -5.63    -3.51     0.46     0.11    -0.00     0.22    -0.22 ********    73.77 ******** ********
    30.00    10.00     2.81     3.02    -5.06    -3.64    -0.17     2.73     0.08    -0.21     0.29  -262.82    71.08   103.13   103.63
    30.00    20.00     5.75     5.92    -4.42    -3.75    -2.04     5.43     0.32    -0.17     0.49   -52.88    68.46    52.67    53.21
    30.00    30.00     8.71     8.82    -3.72    -3.86    -5.16     8.00     0.71    -0.11     0.82   -14.95    65.90    35.43    36.03
    30.00    40.00    11.70    11.72    -2.95    -3.97    -9.52    10.46     1.24    -0.02     1.26    -1.61    63.40    26.74    27.39
    30.00    50.00    14.72    14.64    -2.11    -4.09   -15.11    12.83     1.90     0.09     1.81     4.61    60.97    21.49    22.20
    30.00    60.00    17.78    17.57    -1.19    -4.25   -21.91    15.12     2.67     0.21     2.45     7.99    58.59    17.99    18.75
    30.00    70.00    20.89    20.53    -0.21    -4.45   -29.90    17.34     3.54     0.35     3.19     9.94    56.27    15.48    16.29
    30.00     0.00    -0.11     0.11    -5.63    -3.51     0.46    -0.11     0.00    -0.22     0.22 ********    73.77 ******** ********
    30.00   -10.00    -3.02    -2.81    -6.13    -3.35    -0.17    -2.73    -0.08     0.21    -0.29  -262.82    76.53   103.13   103.63
