
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

   -20.00  1000.00     0.00    -0.19     0.67    -0.12    -0.49     2.24    -9.60     1.06    -0.83    -0.00     0.13    -0.02    -0.05     0.00     0.00
   -20.00 -1000.00     0.00     1.48     1.22     0.69    -0.72   -21.59   -18.20     0.74    -0.76     0.38     0.32     0.03    -0.03   969.25   137.82
   -20.00     0.00  1000.00     0.67    -0.19     0.49     0.12    -9.60     2.24     0.83    -1.06     0.13    -0.00     0.05     0.02     0.00     0.00
   -20.00     0.00 -1000.00     1.22     1.48     0.72    -0.69   -18.20   -21.59     0.76    -0.74     0.32     0.38     0.03    -0.03   137.82   969.25
   -25.00  1000.00     0.00    -0.19     0.67    -0.12    -0.49     2.24    -9.60     1.06    -0.83    -0.00     0.13    -0.02    -0.05     0.00     0.00
   -25.00 -1000.00     0.00     1.81     1.55     0.60    -0.69   -26.26   -22.76     0.71    -0.73     0.46     0.40     0.03    -0.03   888.64    30.69
   -25.00     0.00  1000.00     0.67    -0.19     0.49     0.12    -9.60     2.24     0.83    -1.06     0.13    -0.00     0.05     0.02     0.00     0.00
   -25.00     0.00 -1000.00     1.55     1.81     0.69    -0.60   -22.76   -26.26     0.73    -0.71     0.40     0.46     0.03    -0.03    30.69   888.64
   -30.00  1000.00     0.00    -0.19     0.67    -0.12    -0.49     2.24    -9.60     1.06    -0.83    -0.00     0.13    -0.02    -0.05     0.00     0.00
   -30.00 -1000.00     0.00     2.15     1.70     0.42    -0.65   -30.89   -25.00     0.70    -0.72     0.55     0.44     0.02    -0.03   798.78     0.00
   -30.00     0.00  1000.00     0.67    -0.19     0.49     0.12    -9.60     2.24     0.83    -1.06     0.13    -0.00     0.05     0.02     0.00     0.00
   -30.00     0.00 -1000.00     1.70     2.15     0.65    -0.42   -25.00   -30.89     0.72    -0.70     0.44     0.55     0.03    -0.02     0.00   798.78
   -35.00  1000.00     0.00    -0.19     0.67    -0.12    -0.49     2.24    -9.60     1.06    -0.83    -0.00     0.13    -0.02    -0.05     0.00     0.00
   -35.00 -1000.00     0.00     2.50     1.77     0.16    -0.63   -35.56   -26.00     0.70    -0.71     0.65     0.46     0.02    -0.03   718.58     0.00
   -35.00     0.00  1000.00     0.67    -0.19     0.49     0.12    -9.60     2.24     0.83    -1.06     0.13    -0.00     0.05     0.02     0.00     0.00
   -35.00     0.00 -1000.00     1.77     2.50     0.63    -0.16   -26.00   -35.56     0.71    -0.70     0.46     0.65     0.03    -0.02     0.00   718.58
   -40.00  1000.00     0.00    -0.19     0.67    -0.12    -0.49     2.24    -9.60     1.06    -0.83    -0.00     0.13    -0.02    -0.05     0.00     0.00
   -40.00 -1000.00     0.00     2.85     1.82    -0.21    -0.61   -40.31   -26.69     0.71    -0.71     0.74     0.48     0.00    -0.03   655.04     0.00
   -40.00     0.00  1000.00     0.67    -0.19     0.49     0.12    -9.60     2.24     0.83    -1.06     0.13    -0.00     0.05     0.02     0.00     0.00
   -40.00     0.00 -1000.00     1.82     2.85     0.61     0.21   -26.69   -40.31     0.71    -0.71     0.48     0.74     0.03    -0.00     0.00   655.04
