
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
   -15.00     0.00  -100.00     0.90     0.93     0.65    -0.64   -13.46   -13.38     4.81    -4.83     0.23     0.25     0.01     0.02   193.34   174.21
   -20.00   100.00     0.00     1.24     1.22     0.70    -0.71   -17.96   -18.02     4.78    -4.76     0.33     0.31    -0.02    -0.01    72.46    88.01
   -20.00  -100.00     0.00     1.19     1.22     0.71    -0.71   -18.07   -18.01     4.74    -4.76     0.28     0.31     0.05    -0.01   101.72    86.14
   -20.00     0.00   100.00     1.22     1.19     0.71    -0.71   -18.01   -18.07     4.76    -4.74     0.31     0.28     0.01    -0.05    86.14   101.72
   -20.00     0.00  -100.00     1.22     1.24     0.71    -0.70   -18.02   -17.96     4.76    -4.78     0.31     0.33     0.01     0.02    88.01    72.46
   -25.00   100.00     0.00     1.50     1.50     0.69    -0.69   -21.66   -21.98     4.75    -4.73     0.40     0.38    -0.03    -0.01     0.00     0.00
   -25.00  -100.00     0.00     1.50     1.51     0.69    -0.69   -22.52   -22.21     4.71    -4.73     0.36     0.39     0.05    -0.01     0.00     0.00
   -25.00     0.00   100.00     1.51     1.50     0.69    -0.69   -22.21   -22.52     4.73    -4.71     0.39     0.36     0.01    -0.05     0.00     0.00
   -25.00     0.00  -100.00     1.50     1.50     0.69    -0.69   -21.98   -21.66     4.73    -4.75     0.38     0.40     0.01     0.03     0.00     0.00
   -30.00   100.00     0.00     1.50     1.50     0.69    -0.69   -21.66   -21.98     4.75    -4.73     0.40     0.38    -0.03    -0.01     0.00     0.00
   -30.00  -100.00     0.00     1.50     1.51     0.69    -0.69   -22.52   -22.21     4.71    -4.73     0.36     0.39     0.05    -0.01     0.00     0.00
   -30.00     0.00   100.00     1.51     1.50     0.69    -0.69   -22.21   -22.52     4.73    -4.71     0.39     0.36     0.01    -0.05     0.00     0.00
   -30.00     0.00  -100.00     1.50     1.50     0.69    -0.69   -21.98   -21.66     4.73    -4.75     0.38     0.40     0.01     0.03     0.00     0.00
   -35.00   100.00     0.00     1.50     1.50     0.69    -0.69   -21.66   -21.98     4.75    -4.73     0.40     0.38    -0.03    -0.01     0.00     0.00
   -35.00  -100.00     0.00     1.50     1.51     0.69    -0.69   -22.52   -22.21     4.71    -4.73     0.36     0.39     0.05    -0.01     0.00     0.00
   -35.00     0.00   100.00     1.51     1.50     0.69    -0.69   -22.21   -22.52     4.73    -4.71     0.39     0.36     0.01    -0.05     0.00     0.00
   -35.00     0.00  -100.00     1.50     1.50     0.69    -0.69   -21.98   -21.66     4.73    -4.75     0.38     0.40     0.01     0.03     0.00     0.00
   -40.00   100.00     0.00     1.50     1.50     0.69    -0.69   -21.66   -21.98     4.75    -4.73     0.40     0.38    -0.03    -0.01     0.00     0.00
   -40.00  -100.00     0.00     1.50     1.51     0.69    -0.69   -22.52   -22.21     4.71    -4.73     0.36     0.39     0.05    -0.01     0.00     0.00
   -40.00     0.00   100.00     1.51     1.50     0.69    -0.69   -22.21   -22.52     4.73    -4.71     0.39     0.36     0.01    -0.05     0.00     0.00
   -40.00     0.00  -100.00     1.50     1.50     0.69    -0.69   -21.98   -21.66     4.73    -4.75     0.38     0.40     0.01     0.03     0.00     0.00
