
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             Demo data                                           

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

    20.00    60.00    17.55    17.22     3.04    -4.79   -22.17    13.46     4.09     0.34     3.76     8.19    58.75    10.54    11.31
    20.00    70.00    20.62    20.12     4.03    -5.12   -30.25    15.24     5.38     0.50     4.88     9.23    56.43     9.07     9.89
    20.00     0.00    -0.08     0.08    -1.39    -3.50     0.46    -0.08     0.00    -0.16     0.16 ********    73.98 ******** ********
    20.00   -10.00    -2.94    -2.79    -1.89    -3.31    -0.17    -2.66    -0.13     0.15    -0.28  -110.05    76.74    60.89    61.39
    20.00   -20.00    -5.78    -5.68    -2.34    -3.10    -2.07    -5.16    -0.53     0.10    -0.63   -19.61    79.58    30.96    31.51
    20.00   -30.00    -8.63    -8.60    -2.72    -2.87    -5.22    -7.46    -1.14     0.03    -1.17    -2.72    82.49    20.80    21.41
    20.00   -40.00   -11.48   -11.55    -3.05    -2.61    -9.64    -9.59    -1.96    -0.07    -1.89     3.46    85.48    15.68    16.34
    20.00   -50.00   -14.34   -14.53    -3.32    -2.33   -15.29   -11.58    -2.95    -0.19    -2.76     6.47    88.56    12.60    13.32
    20.00   -60.00   -17.22   -17.55    -3.52    -2.02   -22.17   -13.46    -4.09    -0.34    -3.76     8.19    91.74    10.54    11.31
    20.00   -70.00   -20.12   -20.62    -3.66    -1.68   -30.25   -15.24    -5.38    -0.50    -4.88     9.23    95.02     9.07     9.89
    25.00     0.00    -0.11     0.11    -1.50    -3.51     0.48     0.11    -0.00     0.21    -0.22 ********    73.87 ******** ********
    25.00    10.00     2.75     2.95    -0.93    -3.69    -0.15     2.62     0.13    -0.20     0.33  -154.83    71.18    60.67    61.17
    25.00    20.00     5.62     5.78    -0.30    -3.87    -2.03     5.11     0.51    -0.16     0.67   -30.56    68.56    30.99    31.54
