
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

   -25.00  1000.00     0.00     2.07     1.53     0.57    -0.69   -22.87   -22.51     0.74    -0.73     0.43     0.39    -0.12    -0.04    58.22     0.00
   -25.00 -1000.00     0.00     0.84     1.46     0.83    -0.70   -19.93   -21.47     0.73    -0.73     0.31     0.37     0.19    -0.04     0.00     0.00
   -25.00     0.00  1000.00     1.53     2.07     0.69    -0.57   -22.51   -22.87     0.73    -0.74     0.39     0.43     0.04     0.12     0.00    58.22
   -25.00     0.00 -1000.00     1.46     0.84     0.70    -0.83   -21.47   -19.93     0.73    -0.73     0.37     0.31     0.04    -0.19     0.00     0.00
   -30.00  1000.00     0.00     2.23     1.59     0.52    -0.68   -25.11   -23.29     0.73    -0.72     0.47     0.41    -0.12    -0.03     0.00     0.00
   -30.00 -1000.00     0.00     0.84     1.46     0.83    -0.70   -19.93   -21.47     0.73    -0.73     0.31     0.37     0.19    -0.04     0.00     0.00
   -30.00     0.00  1000.00     1.59     2.23     0.68    -0.52   -23.29   -25.11     0.72    -0.73     0.41     0.47     0.03     0.12     0.00     0.00
   -30.00     0.00 -1000.00     1.46     0.84     0.70    -0.83   -21.47   -19.93     0.73    -0.73     0.37     0.31     0.04    -0.19     0.00     0.00
   -35.00  1000.00     0.00     2.23     1.59     0.52    -0.68   -25.11   -23.29     0.73    -0.72     0.47     0.41    -0.12    -0.03     0.00     0.00
   -35.00 -1000.00     0.00     0.84     1.46     0.83    -0.70   -19.93   -21.47     0.73    -0.73     0.31     0.37     0.19    -0.04     0.00     0.00
   -35.00     0.00  1000.00     1.59     2.23     0.68    -0.52   -23.29   -25.11     0.72    -0.73     0.41     0.47     0.03     0.12     0.00     0.00
   -35.00     0.00 -1000.00     1.46     0.84     0.70    -0.83   -21.47   -19.93     0.73    -0.73     0.37     0.31     0.04    -0.19     0.00     0.00
   -40.00  1000.00     0.00     2.23     1.59     0.52    -0.68   -25.11   -23.29     0.73    -0.72     0.47     0.41    -0.12    -0.03     0.00     0.00
   -40.00 -1000.00     0.00     0.84     1.46     0.83    -0.70   -19.93   -21.47     0.73    -0.73     0.31     0.37     0.19    -0.04     0.00     0.00
   -40.00     0.00  1000.00     1.59     2.23     0.68    -0.52   -23.29   -25.11     0.72    -0.73     0.41     0.47     0.03     0.12     0.00     0.00
   -40.00     0.00 -1000.00     1.46     0.84     0.70    -0.83   -21.47   -19.93     0.73    -0.73     0.37     0.31     0.04    -0.19     0.00     0.00
