
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    25.00    10.00    34.17     4.55   -10.73     6.52     0.04    -5.49    -5.18     0.35    20.01    10.24  1749.08   488.55
    25.00    15.00    18.68     4.23   -13.26     6.06     1.58    -5.49    -5.28     0.23    20.53    14.12  1621.84   758.36
    25.00    20.00     7.89     4.00   -15.69     5.59     3.28    -5.50    -5.39     0.11    21.06    17.90  1491.37  1048.52
    25.00    25.00     0.00     3.81   -18.03     5.12     5.12    -5.50    -5.50     0.00    21.61    21.61  1357.93  1357.93
    25.00    30.00    -5.96     3.65   -20.30     4.65     7.10    -5.51    -5.62    -0.11    22.16    25.24  1221.72  1685.61
    25.00    35.00   -10.56     3.52   -22.53     4.17     9.21    -5.51    -5.74    -0.22    22.73    28.79  1082.92  2030.71
    25.00    40.00   -14.15     3.41   -24.70     3.69    11.43    -5.52    -5.87    -0.33    23.30    32.28   941.69  2392.48
    25.00     0.00   101.41     5.83    -4.90     7.42    -2.49    -5.48    -5.00     0.61    19.02     2.22  1992.59    15.38
    25.00    -5.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -10.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -15.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -20.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -25.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -30.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -35.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    25.00   -40.00   105.91     5.91    -4.65     7.45    -2.57    -5.48    -4.99     0.62    18.99     1.93  2001.12     0.00
    30.00     0.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00     5.00    57.65     4.98   -10.12     8.91    -1.85    -5.60    -5.08     0.59    23.09     6.79  2212.13   117.05
    30.00    10.00    37.62     4.49   -12.87     8.47    -0.47    -5.60    -5.18     0.47    23.61    10.76  2085.37   361.57
    30.00    15.00    23.76     4.14   -15.45     8.02     1.07    -5.61    -5.28     0.34    24.14    14.65  1955.17   628.06
    30.00    20.00    13.64     3.87   -17.92     7.56     2.79    -5.62    -5.39     0.23    24.68    18.44  1821.83   915.16
    30.00    25.00     5.96     3.65   -20.30     7.10     4.65    -5.62    -5.51     0.11    25.24    22.16  1685.61  1221.72
    30.00    30.00     0.00     3.47   -22.62     6.64     6.64    -5.63    -5.63     0.00    25.80    25.80  1546.72  1546.72
    30.00    35.00    -4.70     3.32   -24.87     6.18     8.76    -5.63    -5.75    -0.11    26.37    29.37  1405.35  1889.29
    30.00    40.00    -8.45     3.19   -27.08     5.71    10.99    -5.64    -5.88    -0.22    26.96    32.86  1261.65  2248.65
    30.00     0.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00    -5.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -10.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -15.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -20.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -25.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -30.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -35.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    30.00   -40.00    71.95     5.31    -8.60     9.14    -2.48    -5.60    -5.04     0.66    22.83     4.70  2276.05     0.00
    35.00     0.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00     5.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00    10.00    39.92     4.43   -14.99    10.54    -0.99    -5.72    -5.18     0.58    27.13    11.29  2438.66   231.70
    35.00    15.00    27.42     4.06   -17.60    10.10     0.57    -5.73    -5.29     0.45    27.67    15.19  2305.63   494.97
    35.00    20.00    17.94     3.76   -20.11     9.65     2.29    -5.74    -5.40     0.34    28.23    19.00  2169.56   779.11
    35.00    25.00    10.56     3.52   -22.53     9.21     4.17    -5.74    -5.51     0.22    28.79    22.73  2030.71  1082.92
    35.00    30.00     4.70     3.32   -24.87     8.76     6.18    -5.75    -5.63     0.11    29.37    26.37  1889.29  1405.35
    35.00    35.00     0.00     3.15   -27.16     8.31     8.31    -5.76    -5.76     0.00    29.95    29.95  1745.49  1745.49
    35.00    40.00    -3.80     3.00   -29.39     7.86    10.56    -5.77    -5.89    -0.11    30.54    33.45  1599.46  2102.53
    35.00     0.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
    35.00    -5.00    56.30     4.90   -12.32    10.95    -2.32    -5.72    -5.09     0.70    26.63     7.46  2563.19     0.00
