
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
    15.00   -40.00  -349.91     1.61    -2.14     4.98    -2.61    -1.27    -0.90     0.54    11.13    -3.70  1496.75     0.00
    20.00     0.00   128.00     6.02    -2.63     6.35    -1.64    -1.37    -1.00     0.49    15.38     1.75  1672.95   136.85
    20.00     5.00    59.40     5.07    -5.86     5.98    -0.26    -1.38    -1.08     0.36    15.86     5.79  1556.41   365.97
    20.00    10.00    28.80     4.62    -8.54     5.61     1.29    -1.38    -1.18     0.24    16.35     9.74  1435.90   617.83
    20.00    15.00    11.32     4.35   -11.03     5.23     3.00    -1.38    -1.28     0.12    16.85    13.60  1311.77   891.03
    20.00    20.00    -0.00     4.15   -13.39     4.84     4.84    -1.39    -1.39    -0.00    17.37    17.37  1184.33  1184.33
    20.00    25.00    -7.89     4.00   -15.69     4.45     6.82    -1.39    -1.50    -0.11    17.90    21.06  1053.82  1496.67
    20.00    30.00   -13.64     3.87   -17.92     4.06     8.91    -1.39    -1.62    -0.23    18.44    24.68   920.44  1827.11
    20.00    35.00   -17.94     3.76   -20.11     3.67    11.12    -1.40    -1.74    -0.34    19.00    28.23   784.38  2174.83
    20.00    40.00   -21.20     3.67   -22.26     3.27    13.42    -1.40    -1.86    -0.44    19.56    31.70   645.78  2539.10
    20.00     0.00   128.00     6.02    -2.63     6.35    -1.64    -1.37    -1.00     0.49    15.38     1.75  1672.95   136.85
    20.00    -5.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -10.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -15.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -20.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -25.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -30.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -35.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    20.00   -40.00   254.24     7.71     0.58     6.58    -2.44    -1.37    -0.94     0.58    15.08    -0.95  1746.85     0.00
    25.00     0.00   101.41     5.83    -4.90     8.28    -2.07    -1.48    -1.00     0.61    19.02     2.22  1997.93    20.73
    25.00     5.00    58.30     5.02    -8.00     7.92    -0.68    -1.49    -1.08     0.48    19.51     6.28  1878.12   245.74
    25.00    10.00    34.17     4.55   -10.73     7.56     0.88    -1.49    -1.18     0.35    20.02    10.24  1754.40   493.88
    25.00    15.00    18.67     4.23   -13.26     7.19     2.59    -1.49    -1.28     0.23    20.53    14.12  1627.15   763.67
    25.00    20.00     7.89     4.00   -15.69     6.82     4.45    -1.50    -1.39     0.11    21.06    17.90  1496.67  1053.82
    25.00    25.00     0.00     3.81   -18.03     6.44     6.44    -1.50    -1.50     0.00    21.61    21.61  1363.21  1363.21
    25.00    30.00    -5.96     3.65   -20.30     6.07     8.55    -1.51    -1.62    -0.11    22.16    25.24  1226.99  1690.88
    25.00    35.00   -10.56     3.52   -22.53     5.69    10.77    -1.51    -1.74    -0.22    22.73    28.79  1088.18  2035.96
    25.00    40.00   -14.15     3.41   -24.70     5.31    13.08    -1.52    -1.87    -0.33    23.30    32.28   946.94  2397.72
    25.00     0.00   101.41     5.83    -4.90     8.28    -2.07    -1.48    -1.00     0.61    19.02     2.22  1997.93    20.73
    25.00    -5.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -10.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -15.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -20.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -25.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -30.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -35.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    25.00   -40.00   107.55     5.94    -4.57     8.31    -2.20    -1.48    -0.99     0.62    18.98     1.82  2009.44     0.00
    30.00     0.00    72.72     5.33    -8.52    10.17    -1.89    -1.60    -1.04     0.66    22.82     4.60  2284.35     0.00
    30.00     5.00    57.65     4.98   -10.12     9.98    -1.11    -1.60    -1.08     0.59    23.09     6.79  2217.44   122.38
    30.00    10.00    37.62     4.49   -12.87     9.63     0.46    -1.60    -1.18     0.47    23.61    10.76  2090.67   366.88
    30.00    15.00    23.76     4.14   -15.45     9.27     2.19    -1.61    -1.28     0.34    24.14    14.65  1960.46   633.35
    30.00    20.00    13.64     3.87   -17.92     8.91     4.06    -1.62    -1.39     0.23    24.68    18.44  1827.11   920.44
    30.00    25.00     5.96     3.65   -20.30     8.55     6.07    -1.62    -1.51     0.11    25.24    22.16  1690.88  1226.99
    30.00    30.00     0.00     3.47   -22.62     8.19     8.19    -1.63    -1.63     0.00    25.80    25.80  1551.98  1551.98
