
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]
   -20.00     0.00  -100.00     1.21     1.15     0.71    -0.71   -18.00   -17.91     0.76    -0.73     0.31     0.22     0.04    -0.11    88.66    67.64
   -25.00   100.00     0.00     1.61     1.54     0.68    -0.69   -22.73   -22.57     0.75    -0.73     0.48     0.39    -0.04    -0.04    21.63     0.00
   -25.00  -100.00     0.00     1.38     1.49     0.71    -0.69   -21.29   -21.89     0.71    -0.73     0.29     0.38     0.11    -0.04     0.00     0.00
   -25.00     0.00   100.00     1.54     1.61     0.69    -0.68   -22.57   -22.73     0.73    -0.75     0.39     0.48     0.04     0.04     0.00    21.63
   -25.00     0.00  -100.00     1.49     1.38     0.69    -0.71   -21.89   -21.29     0.73    -0.71     0.38     0.29     0.04    -0.11     0.00     0.00
   -30.00   100.00     0.00     1.67     1.56     0.67    -0.68   -23.53   -22.85     0.75    -0.73     0.49     0.40    -0.04    -0.04     0.00     0.00
   -30.00  -100.00     0.00     1.38     1.49     0.71    -0.69   -21.29   -21.89     0.71    -0.73     0.29     0.38     0.11    -0.04     0.00     0.00
   -30.00     0.00   100.00     1.56     1.67     0.68    -0.67   -22.85   -23.53     0.73    -0.75     0.40     0.49     0.04     0.04     0.00     0.00
   -30.00     0.00  -100.00     1.49     1.38     0.69    -0.71   -21.89   -21.29     0.73    -0.71     0.38     0.29     0.04    -0.11     0.00     0.00
   -35.00   100.00     0.00     1.67     1.56     0.67    -0.68   -23.53   -22.85     0.75    -0.73     0.49     0.40    -0.04    -0.04     0.00     0.00
   -35.00  -100.00     0.00     1.38     1.49     0.71    -0.69   -21.29   -21.89     0.71    -0.73     0.29     0.38     0.11    -0.04     0.00     0.00
   -35.00     0.00   100.00     1.56     1.67     0.68    -0.67   -22.85   -23.53     0.73    -0.75     0.40     0.49     0.04     0.04     0.00     0.00
   -35.00     0.00  -100.00     1.49     1.38     0.69    -0.71   -21.89   -21.29     0.73    -0.71     0.38     0.29     0.04    -0.11     0.00     0.00
   -40.00   100.00     0.00     1.67     1.56     0.67    -0.68   -23.53   -22.85     0.75    -0.73     0.49     0.40    -0.04    -0.04     0.00     0.00
   -40.00  -100.00     0.00     1.38     1.49     0.71    -0.69   -21.29   -21.89     0.71    -0.73     0.29     0.38     0.11    -0.04     0.00     0.00
   -40.00     0.00   100.00     1.56     1.67     0.68    -0.67   -22.85   -23.53     0.73    -0.75     0.40     0.49     0.04     0.04     0.00     0.00
   -40.00     0.00  -100.00     1.49     1.38     0.69    -0.71   -21.89   -21.29     0.73    -0.71     0.38     0.29     0.04    -0.11     0.00     0.00
